h_over_b,e_box,e_ellipse,e_ellipse_spine
0.05,-1.1732783525428367,-1.0523917542424681,-1.052394248197656
0.1,-1.3393746597466416,-1.1023711246161876,-1.1023726336193875
0.15,-1.5205299956440887,-1.152339166280767,-1.1523403854852161
0.2,-1.7251268442738306,-1.202295425828148,-1.2022965162831614
0.25,-1.9609330615830938,-1.2522397670450025,-1.2522407775195836
0.3,-2.239662909474118,-1.3021721312346441,-1.3021730683560158
0.4,-2.963648840161841,-1.4020008204463479,-1.4020015778919828
0.5,-4.050852183601549,-1.5017813778243296,-1.5017819204180265
0.6,-5.8751706263040795,-1.6015137772411414,-1.601514115902881
0.75,-12.950103034179232,-1.7510221312547696,-1.751022250301057
